Country,2022,2021,2020,2019,2018
Morocco,"$134,181,587,770","$142,866,583,125","$121,347,533,650","$128,920,265,076","$127,341,141,871"
Ethiopia,"$126,783,472,501","$111,261,882,913","$107,657,734,392","$95,912,607,970","$84,269,196,152"
Slovak Republic,"$115,468,803,972","$118,656,591,909","$106,728,917,483","$105,710,052,465","$106,137,924,016"
Ecuador,"$115,049,476,000","$106,165,866,000","$99,291,124,000","$108,108,009,000","$107,562,008,000"
Oman,"$114,667,360,208","$88,191,977,373","$75,909,397,659","$88,060,858,257","$91,505,851,756"
Dominican Republic,"$113,641,857,434","$94,243,426,487","$78,844,655,833","$88,941,371,980","$85,555,390,386"
Puerto Rico,"$113,434,800,000","$106,368,900,000","$103,130,900,000","$105,126,400,000","$100,958,100,000"
Kenya,"$113,420,008,179","$109,703,659,313","$100,657,505,601","$100,378,435,824","$92,202,979,941"
Angola,"$106,713,618,735","$65,685,435,100","$50,241,368,244","$69,309,110,146","$77,792,944,472"
Guatemala,"$95,003,333,381","$86,053,079,767","$77,715,183,063","$77,172,313,916","$73,328,369,926"
Bulgaria,"$89,040,398,406","$84,061,395,658","$70,404,359,049","$68,911,930,628","$66,399,602,077"
Luxembourg,"$82,274,812,251","$85,506,243,834","$73,992,591,285","$69,825,641,851","$71,000,359,760"
Uzbekistan,"$80,391,853,885","$69,600,614,989","$60,224,701,296","$60,283,503,705","$52,870,108,218"
Azerbaijan,"$78,721,058,824","$54,825,411,765","$42,693,000,000","$48,174,235,294","$47,112,479,289"
Panama,"$76,522,511,781","$67,406,738,052","$57,086,836,942","$69,721,787,533","$67,294,169,235"
Tanzania,"$75,709,289,056","$70,655,628,141","$66,068,737,757","$61,026,765,850","$57,003,686,049"
Sri Lanka,"$74,403,578,363","$88,496,535,599","$84,440,535,699","$89,014,978,319","$94,493,871,351"
Ghana,"$72,838,798,788","$79,156,409,410","$70,043,095,503","$68,337,974,419","$67,298,913,752"
Belarus,"$72,793,457,588","$69,673,747,132","$61,371,755,326","$64,410,112,583","$60,031,163,987"
Uruguay,"$71,177,146,197","$61,412,268,249","$53,666,908,480","$62,048,585,619","$65,203,071,111"
Croatia,"$70,964,606,465","$68,843,674,641","$57,624,938,982","$61,329,267,533","$61,330,483,610"
Lithuania,"$70,334,299,008","$66,414,994,992","$56,914,826,861","$54,760,617,013","$53,751,411,409"
Costa Rica,"$68,380,838,316","$64,616,482,168","$62,395,610,764","$64,417,670,556","$62,420,164,965"
Serbia,"$63,501,748,652","$63,082,021,206","$53,356,484,764","$51,514,242,776","$50,640,662,859"
Slovenia,"$62,117,768,015","$61,748,586,535","$53,706,800,044","$54,331,588,482","$54,177,882,426"
Myanmar,"$59,364,362,541","$65,124,769,602","$78,930,259,069","$68,697,761,477","$67,144,726,168"
Democratic Republic Of Congo,"$58,065,953,573","$55,350,968,593","$48,716,961,865","$51,775,829,869","$47,568,210,021"
Sudan,"$51,662,241,775","$34,229,513,775","$27,034,593,750","$32,338,079,165","$32,333,780,383"
Jordan,"$47,451,499,859","$45,116,317,042","$43,579,916,197","$44,503,005,775","$43,370,860,704"
Tunisia,"$46,664,948,952","$46,687,298,709","$42,538,462,678","$41,905,637,659","$42,686,509,836"
Libya,"$45,752,336,036","$39,798,423,941","$46,808,208,747","$69,254,143,968","$76,686,048,499"
Uganda,"$45,559,202,049","$40,510,241,366","$37,605,430,214","$35,348,155,092","$32,927,025,621"
Bahrain,"$44,390,820,479","$39,303,403,989","$34,621,807,713","$38,653,318,085","$37,802,005,319"
Cameroon,"$44,341,646,509","$45,338,285,386","$40,773,241,212","$39,670,976,440","$39,973,842,059"
Bolivia,"$43,068,885,673","$40,408,208,524","$36,629,843,806","$40,895,322,851","$40,287,647,931"
Paraguay,"$41,722,295,362","$39,950,899,733","$35,432,177,936","$37,925,338,460","$40,225,448,651"
Latvia,"$41,153,912,663","$39,725,383,601","$34,601,740,323","$34,343,961,073","$34,429,023,435"
Nepal,"$40,828,247,302","$36,924,841,430","$33,433,659,223","$34,186,180,695","$33,111,525,183"
Estonia,"$38,100,812,959","$37,191,166,152","$31,370,395,573","$31,081,901,909","$30,624,720,196"
El Salvador,"$32,488,720,000","$29,451,240,000","$24,930,080,000","$26,881,140,000","$26,020,850,000"
Honduras,"$31,717,700,115","$28,488,721,296","$23,827,859,695","$25,089,937,109","$24,067,750,466"
Papua New Guinea,"$30,633,444,295","$26,311,656,000","$23,848,442,440","$24,751,069,238","$24,109,780,113"
Cambodia,"$29,956,769,529","$26,961,061,152","$25,872,797,892","$27,089,390,033","$24,571,753,582"
Zambia,"$29,784,454,056","$22,147,649,569","$18,110,638,619","$23,308,667,781","$26,311,506,435"
Cyprus,"$28,439,052,741","$28,408,064,462","$25,008,266,159","$25,945,194,240","$25,597,301,191"
Trinidad And Tobago,"$27,899,082,337","$24,460,196,270","$21,059,428,846","$23,849,557,811","$24,322,359,037"
Iceland,"$27,841,648,044","$25,552,639,899","$21,553,080,484","$24,663,643,102","$26,260,850,582"
Senegal,"$27,684,430,244","$27,569,136,728","$24,530,513,059","$23,403,995,985","$23,116,701,540"
Georgia,"$24,605,375,420","$18,629,365,612","$15,842,922,533","$17,470,436,259","$17,596,922,470"
Bosnia,"$24,527,507,288","$23,649,566,069","$20,226,030,731","$20,482,603,346","$20,484,048,416"
Macao,"$21,979,475,561","$30,123,795,337","$25,459,685,020","$55,204,961,000","$55,284,309,690"
Guinea,"$21,227,749,389","$16,091,817,842","$14,177,835,841","$13,442,861,497","$11,857,030,366"
Gabon,"$21,071,739,228","$20,217,946,921","$15,314,577,168","$16,874,405,460","$16,867,326,390"
Zimbabwe,"$20,678,055,598","$28,371,238,666","$21,509,698,406","$21,832,234,926","$34,156,069,918"
Botswana,"$20,352,322,157","$18,737,066,307","$14,960,291,541","$16,725,908,662","$17,031,943,186"
Haiti,"$20,253,551,885","$20,877,414,952","$14,508,222,518","$15,016,090,930","$16,403,864,521"
Armenia,"$19,502,783,988","$13,861,409,969","$12,641,698,594","$13,619,290,546","$12,457,940,705"
West Bank And Gaza,"$19,111,900,000","$18,109,000,000","$15,531,700,000","$17,133,500,000","$16,276,600,000"
Burkina Faso,"$18,884,619,613","$19,737,616,003","$17,933,606,213","$16,178,161,666","$15,890,066,210"
Albania,"$18,882,095,518","$17,930,565,119","$15,162,734,205","$15,401,826,081","$15,156,424,062"
Mali,"$18,827,176,532","$19,309,463,506","$17,465,392,779","$17,280,250,805","$17,070,867,578"
Mozambique,"$17,851,491,428","$15,776,757,420","$14,156,864,916","$15,390,031,040","$14,845,400,593"
Malta,"$17,765,270,015","$17,743,376,199","$15,046,136,935","$15,881,258,056","$15,298,004,130"
Benin,"$17,401,746,309","$17,690,083,520","$15,651,545,209","$14,391,686,309","$14,262,408,080"
Jamaica,"$17,097,760,745","$14,657,586,359","$13,812,421,859","$15,830,766,372","$15,730,791,526"
Mongolia,"$16,810,883,361","$15,286,441,740","$13,312,981,427","$14,206,359,016","$13,178,094,720"
Brunei,"$16,681,531,646","$14,006,497,000","$12,005,795,915","$13,469,240,163","$13,567,164,445"
Lao PDR,"$15,724,383,783","$18,827,148,530","$18,981,800,705","$18,740,559,554","$18,141,651,381"
Nicaragua,"$15,671,583,878","$14,145,852,101","$12,678,162,359","$12,699,028,890","$13,025,266,513"
Guyana,"$15,357,537,068","$8,044,498,801","$5,471,256,595","$5,173,760,192","$4,787,637,006"
Madagascar,"$14,954,967,604","$14,554,754,115","$13,051,441,203","$14,104,664,678","$13,760,033,283"
Republic Of Congo,"$14,615,532,210","$13,366,230,821","$10,483,151,094","$12,750,338,736","$13,670,038,020"
Moldova,"$14,420,947,884","$13,692,230,147","$11,531,967,881","$11,735,774,634","$11,253,727,815"
Niger,"$13,969,605,583","$14,915,002,098","$13,744,174,582","$12,916,454,871","$12,808,661,487"
North Macedonia,"$13,563,132,057","$13,825,049,832","$12,363,580,535","$12,606,338,449","$12,683,068,033"
Rwanda,"$13,312,796,765","$11,055,281,971","$10,172,925,172","$10,346,675,636","$9,636,510,839"
Malawi,"$13,164,667,627","$12,602,334,124","$12,056,108,780","$11,025,371,147","$9,880,675,786"
Mauritius,"$12,898,307,089","$11,476,433,604","$11,401,040,996","$14,436,347,115","$14,735,695,931"
